user,item,rating,month_visited:january,month_visited:february,month_visited:march,month_visited:april,month_visited:may,month_visited:june,month_visited:july,month_visited:august,month_visited:september,month_visited:october,month_visited:november,month_visited:december,company:alone,company:couple,company:friends,company:family,company:business
33,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
33,205,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
33,208,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
33,420,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
64,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
64,148,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
64,208,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
64,230,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
71,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,186,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,208,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
71,414,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
127,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
127,191,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
127,205,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
127,230,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
159,219,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
159,402,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
159,402,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
159,414,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
192,148,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,186,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,216,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,219,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
203,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
203,191,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
203,207,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
203,414,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
216,208,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
216,215,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
216,249,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
216,414,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
219,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
219,204,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
219,208,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
219,230,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
250,208,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
250,216,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
250,230,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
250,422,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
252,208,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
252,214,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
252,218,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
252,414,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
253,185,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
253,219,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
253,241,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
253,414,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256,216,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256,222,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256,230,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
256,420,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
267,219,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
267,236,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
267,249,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
267,414,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
326,217,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
326,240,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
326,408,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
326,409,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
342,211,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
342,230,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
342,243,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
342,249,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
349,148,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
349,208,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
349,218,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
349,230,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
375,241,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
375,243,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
375,249,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
375,414,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
402,211,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
402,228,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
402,243,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
402,420,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
404,236,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
404,346,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
404,403,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
404,414,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
411,205,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
411,309,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
411,346,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
411,391,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
424,219,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
424,230,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
424,414,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
424,422,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
464,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
464,35,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
464,208,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
464,210,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
472,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
472,191,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
472,346,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
472,414,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
473,148,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
473,205,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
473,249,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
473,414,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
503,148,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
503,223,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
503,266,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
503,414,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
508,148,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
508,214,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
508,230,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
508,346,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
542,208,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
542,215,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
542,249,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
542,414,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
544,230,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
544,249,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
544,414,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
544,414,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
558,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
558,215,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
558,242,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
558,414,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
